"Chicago, Illinois",100,,"Chicago, IL","606, 607, 608",Any surrounding areas?,"This should probably include any zip within 100 miles of Chicago, extending out to Rockford, IL, South Bend, IN and Kenosha, WI"
"New York City, New York",50,,"New York City, NY","100, 101, 102, 104","Does this include surrounding areas (Brooklyn, Queens, etc)? If so, which?","This should probably include any zip within 100 miles of Manhattan, extending into NJ & CT + all of Long Island & the 5 boroughs of NY, & overlap with the Philly metro area"
